voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
2.0,0.5,4.0,head,module.2.weight,other,1.0008776721820125,0.0,0.5923097133636475,0.5923097133636475,1.0
2.0,0.5,4.0,head,module.2.bias,other,1.000000065123447,0.0,0.015885766595602036,0.015885766595602036,1.0
2.0,0.5,4.0,head,module.4.weight,other,0.9999998631769554,0.0,2.9377198219299316,2.9377198219299316,1.0
2.0,0.5,4.0,head,module.4.bias,other,0.9999999901321643,0.0,0.2696203291416168,0.2696203291416168,1.0
2.0,0.5,4.0,block_0/ff,base_ff.0.weight,bias,0.9751165578370139,0.982501961162603,0.3528189957141876,0.006334131583571434,0.017952921074302363
2.0,0.5,4.0,block_0/ff,base_ff.0.bias,bias,0.9999522819982605,0.9846800969590427,0.5796510577201843,0.008880604058504105,0.01532060356006639
2.0,0.5,4.0,block_0/drive,drive_scale,other,1.0000000372506417,0.9870832418762012,0.21527199447155,0.002780614420771599,0.012916749471279137
2.0,0.5,4.0,block_0/drn,W0,weight,0.033656370053230036,1.0004859351547337,1.8116832971572876,0.14409610629081726,0.07953713903358191
2.0,0.5,4.0,block_0/drn,W1,weight,0.41043243263154316,0.9810152456164536,0.6023051142692566,0.029336296021938324,0.04870670251161727
2.0,0.5,4.0,block_0/drn,b0,bias,0.9934911529951658,0.9853891962004095,0.4462045431137085,0.006562783382833004,0.01470801560431575
2.0,0.5,4.0,block_0/drn,b1,bias,0.9939454651925047,0.9667935827499876,0.614740788936615,0.020542072132229805,0.033415827454305894
2.0,0.5,4.0,block_0/drn,b2,bias,0.9702242809385444,0.878692514238746,0.8100813031196594,0.1017240434885025,0.12557263461921495
2.0,0.5,4.0,block_1/ff,base_ff.0.weight,bias,0.9931126811285717,0.8690155102686729,0.15518075227737427,0.020488755777478218,0.13203155337754816
2.0,0.5,4.0,block_1/ff,base_ff.0.bias,bias,0.989328309771071,0.8806510685755321,0.03545748069882393,0.004283764865249395,0.12081413515065331
2.0,0.5,4.0,block_1/drive,drive_scale,other,0.9999999717169444,0.8144733320731395,0.08190436661243439,0.015195447951555252,0.18552671341027552
2.0,0.5,4.0,block_1/drn,W0,weight,0.08383214965248934,1.1068780015020734,0.9015655517578125,0.5100213885307312,0.5657063843403571
2.0,0.5,4.0,block_1/drn,W1,weight,0.5044827552290656,0.9063385677255383,1.3130334615707397,0.3005642592906952,0.22890830133996723
2.0,0.5,4.0,block_1/drn,b0,bias,0.9884778736694809,0.8747339424813693,0.04652280732989311,0.005905593279749155,0.12693974458318064
2.0,0.5,4.0,block_1/drn,b1,bias,0.9970445525329109,0.7130566503911995,0.03584263473749161,0.010327644646167755,0.2881385456679327
2.0,0.5,4.0,block_1/drn,b2,bias,0.9991820210456679,0.04044561172121876,0.05903271958231926,0.05901346355676651,0.9996738075818123
