beta,num_iterations,voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
1e-06,128,4.0,1.0,4.0,block_0/drive,drive_scale,other,0.9999999866555586,0.9679192654843336,0.14084897935390472,0.004518531728535891,0.03208068492411567
1e-06,128,4.0,1.0,4.0,block_0/drn,W0,weight,0.08510357706274724,2.6797875651272887,1.302332878112793,3.3506083488464355,2.572774138745382
1e-06,128,4.0,1.0,4.0,block_0/drn,W1,weight,0.026669212453045685,2.489289136013687,1.1148452758789062,2.571303367614746,2.306421727972626
1e-06,128,4.0,1.0,4.0,block_0/drn,b0,bias,0.050815512019182885,0.999244778900305,0.707627534866333,0.012785031460225582,0.01806745898128541
1e-06,128,4.0,1.0,4.0,block_0/drn,b1,bias,0.056972548280397814,0.9983846158567123,1.6704518795013428,0.08816947788000107,0.052781812491552345
1e-06,128,4.0,1.0,4.0,block_0/drn,b2,bias,0.052298440852810366,1.0132527344292162,2.477062702178955,0.5543922185897827,0.22381032910556123
1e-06,128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,0.7265757644740918,0.9922382642212205,0.2573215961456299,0.00275856233201921,0.010720290769757293
1e-06,128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.40449564204251565,0.986862973368792,0.18257486820220947,0.0061464752070605755,0.03366550537641956
1e-06,128,4.0,1.0,4.0,block_1/drive,drive_scale,other,-0.9999999694959972,1.0002691705163318,0.20084448158740997,5.405861884355545e-05,0.0002691566052315382
1e-06,128,4.0,1.0,4.0,block_1/drn,W0,weight,-0.001123734295143824,2.393037364620906,2.633267879486084,5.7220458984375,2.1729828336166963
1e-06,128,4.0,1.0,4.0,block_1/drn,W1,weight,-0.0007954128683043802,3.9533454037967797,1.732204794883728,6.6244330406188965,3.824278203238407
1e-06,128,4.0,1.0,4.0,block_1/drn,b0,bias,nan,1.0,0.04146399721503258,0.0,0.0
1e-06,128,4.0,1.0,4.0,block_1/drn,b1,bias,0.0016187234436801444,1.2630524815213926,0.062354426831007004,0.048211127519607544,0.773178905970371
1e-06,128,4.0,1.0,4.0,block_1/drn,b2,bias,0.010434116937742991,1.677583097952888,0.10673511028289795,0.14488589763641357,1.3574342805511532
1e-06,128,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,-0.01567694240707312,1.011254755360213,0.039300598204135895,0.0053287954069674015,0.13559069455605927
1e-06,128,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,-0.015170340749041503,1.0066731725827536,0.56044602394104,0.05690719932317734,0.10153912578950526
1e-06,128,4.0,1.0,4.0,head,module.2.bias,other,0.9999999183777978,0.0,0.014658222906291485,0.014658222906291485,1.0
1e-06,128,4.0,1.0,4.0,head,module.2.weight,other,1.0008747847429538,0.0,1.8242290019989014,1.8242290019989014,1.0
1e-06,128,4.0,1.0,4.0,head,module.4.bias,other,0.9999998574690373,0.0,0.40013211965560913,0.40013211965560913,1.0
1e-06,128,4.0,1.0,4.0,head,module.4.weight,other,1.0000003944563218,0.0,5.808175563812256,5.808175563812256,1.0
3e-06,128,4.0,1.0,4.0,block_0/drive,drive_scale,other,-1.0000000122242894,1.007398054318485,0.14084897935390472,0.00104201165959239,0.0073980774612088275
3e-06,128,4.0,1.0,4.0,block_0/drn,W0,weight,0.058099263578642174,1.4825969632284828,1.302332878112793,1.5031718015670776,1.1542147378981322
3e-06,128,4.0,1.0,4.0,block_0/drn,W1,weight,0.011717563931904871,2.458300256629598,1.1148452758789062,2.5167269706726074,2.2574674935842602
3e-06,128,4.0,1.0,4.0,block_0/drn,b0,bias,-0.041631147205420466,1.0008592472047722,0.707627534866333,0.012119951657950878,0.01712758628059926
3e-06,128,4.0,1.0,4.0,block_0/drn,b1,bias,-0.030384362392644377,1.0028113650081647,1.6704518795013428,0.0844774842262268,0.05057163589258538
3e-06,128,4.0,1.0,4.0,block_0/drn,b2,bias,-0.02860332217496008,1.0293724831691524,2.477062702178955,0.5380505919456482,0.21721314986187087
3e-06,128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,-0.6014389175260706,1.006207234419083,0.2573215961456299,0.0026413961313664913,0.010264960931890095
3e-06,128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,-0.21592717430976252,1.0041293977535162,0.18257486820220947,0.0033559314906597137,0.018381125089696772
3e-06,128,4.0,1.0,4.0,block_1/drive,drive_scale,other,-1.0000000166506178,1.073783437184334,0.20084448158740997,0.014818990603089333,0.07378340936213339
3e-06,128,4.0,1.0,4.0,block_1/drn,W0,weight,0.0007291059473847979,8.624193664922064,2.633267879486084,22.559099197387695,8.566959470067433
3e-06,128,4.0,1.0,4.0,block_1/drn,W1,weight,-0.0017616271719153565,5.2961018560109645,1.732204794883728,9.00674819946289,5.199586230257178
3e-06,128,4.0,1.0,4.0,block_1/drn,b0,bias,-0.0021585540481594305,1.1418068539632018,0.04146399721503258,0.02276189811527729,0.5489557120417968
3e-06,128,4.0,1.0,4.0,block_1/drn,b1,bias,0.006985559084901723,1.1413452833675237,0.062354426831007004,0.03474288061261177,0.5571838661394795
3e-06,128,4.0,1.0,4.0,block_1/drn,b2,bias,0.01700785086494516,2.034113411491927,0.10673511028289795,0.19088786840438843,1.7884262066947447
3e-06,128,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,-0.06332711288369329,1.0201487742654418,0.039300598204135895,0.005821574479341507,0.14812941139223829
3e-06,128,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,-0.011050920186746176,1.0126398477717733,0.56044602394104,0.08341039717197418,0.1488286000950363
3e-06,128,4.0,1.0,4.0,head,module.2.bias,other,0.9999999183777978,0.0,0.014658222906291485,0.014658222906291485,1.0
3e-06,128,4.0,1.0,4.0,head,module.2.weight,other,1.0008747847429538,0.0,1.8242290019989014,1.8242290019989014,1.0
3e-06,128,4.0,1.0,4.0,head,module.4.bias,other,0.9999998574690373,0.0,0.40013211965560913,0.40013211965560913,1.0
3e-06,128,4.0,1.0,4.0,head,module.4.weight,other,1.0000003944563218,0.0,5.808175563812256,5.808175563812256,1.0
1e-05,128,4.0,1.0,4.0,block_0/drive,drive_scale,other,-1.0000000303677579,1.0112624395445935,0.14084897935390472,0.0015862990403547883,0.011262410616188904
1e-05,128,4.0,1.0,4.0,block_0/drn,W0,weight,0.09697218438741068,1.216201362775933,1.302332878112793,1.0365726947784424,0.7959352882809325
1e-05,128,4.0,1.0,4.0,block_0/drn,W1,weight,0.006395867732899362,1.5856487382378102,1.1148452758789062,1.3790297508239746,1.236969632164243
1e-05,128,4.0,1.0,4.0,block_0/drn,b0,bias,-0.02281113081119753,1.000328671953046,0.707627534866333,0.008146392181515694,0.011512260023989179
1e-05,128,4.0,1.0,4.0,block_0/drn,b1,bias,-0.03105885693929537,1.0013873777668163,1.6704518795013428,0.05030269920825958,0.030113228537463625
1e-05,128,4.0,1.0,4.0,block_0/drn,b2,bias,-0.01792764856635248,1.013475939390661,2.477062702178955,0.36602863669395447,0.14776720685026518
1e-05,128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,-0.16488324705079374,1.001798528655545,0.2573215961456299,0.0027220689225941896,0.010578470534022524
1e-05,128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,-0.7896895795134712,1.0182783900482453,0.18257486820220947,0.0042032808996737,0.023022231597715777
1e-05,128,4.0,1.0,4.0,block_1/drive,drive_scale,other,1.000000025402319,0.909538526143038,0.20084448158740997,0.01816868595778942,0.09046146458289514
1e-05,128,4.0,1.0,4.0,block_1/drn,W0,weight,0.009170126662838432,11.016853473775628,2.633267879486084,28.91580581665039,10.980958694674726
1e-05,128,4.0,1.0,4.0,block_1/drn,W1,weight,0.001112242803205843,4.640557459138311,1.732204794883728,7.851955413818359,4.532925573817853
1e-05,128,4.0,1.0,4.0,block_1/drn,b0,bias,-0.001595621907330236,1.0751340898854822,0.04146399721503258,0.01630639098584652,0.39326625702007123
1e-05,128,4.0,1.0,4.0,block_1/drn,b1,bias,0.023724995531830505,1.081013606112364,0.062354426831007004,0.02712465450167656,0.4350076791691119
1e-05,128,4.0,1.0,4.0,block_1/drn,b2,bias,0.031824423770892014,1.6527834086662445,0.10673511028289795,0.14389488101005554,1.348149457368497
1e-05,128,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,-0.06188111324804822,1.017526039193249,0.039300598204135895,0.005348005797713995,0.13607950112960837
1e-05,128,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,0.0018077890881565927,1.0106752043344036,0.56044602394104,0.08312857151031494,0.14832574049817904
1e-05,128,4.0,1.0,4.0,head,module.2.bias,other,0.9999999183777978,0.0,0.014658222906291485,0.014658222906291485,1.0
1e-05,128,4.0,1.0,4.0,head,module.2.weight,other,1.0008747847429538,0.0,1.8242290019989014,1.8242290019989014,1.0
1e-05,128,4.0,1.0,4.0,head,module.4.bias,other,0.9999998574690373,0.0,0.40013211965560913,0.40013211965560913,1.0
1e-05,128,4.0,1.0,4.0,head,module.4.weight,other,1.0000003944563218,0.0,5.808175563812256,5.808175563812256,1.0
3e-05,128,4.0,1.0,4.0,block_0/drive,drive_scale,other,0.9999999859466632,0.9815233783827388,0.14084897935390472,0.002602408407256007,0.018476586903175603
3e-05,128,4.0,1.0,4.0,block_0/drn,W0,weight,0.04148585246505427,1.0370738579154142,1.302332878112793,0.41598179936408997,0.3194128063225188
3e-05,128,4.0,1.0,4.0,block_0/drn,W1,weight,-0.0001413035358950055,1.1378607784431138,1.1148452758789062,0.6050790548324585,0.542747112917023
3e-05,128,4.0,1.0,4.0,block_0/drn,b0,bias,0.07708423699737454,0.9995309138630157,0.707627534866333,0.004487995058298111,0.006342312639298115
3e-05,128,4.0,1.0,4.0,block_0/drn,b1,bias,0.15927462801008016,0.9977978651752266,1.6704518795013428,0.024166306480765343,0.014466927648331528
3e-05,128,4.0,1.0,4.0,block_0/drn,b2,bias,0.09228846931266628,0.99575323445068,2.477062702178955,0.24464887380599976,0.09876571698842895
3e-05,128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,-0.5961883218392432,1.0072942966871585,0.2573215961456299,0.0031278699170798063,0.012155489332926428
3e-05,128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.4911026162767021,0.9938451202018349,0.18257486820220947,0.002310933778062463,0.012657458284472126
3e-05,128,4.0,1.0,4.0,block_1/drive,drive_scale,other,0.999999983080761,0.9995749509680085,0.20084448158740997,8.537473331671208e-05,0.0004250788104404848
3e-05,128,4.0,1.0,4.0,block_1/drn,W0,weight,-0.004158945590987144,7.33271101519404,2.633267879486084,19.11815643310547,7.260239864710089
3e-05,128,4.0,1.0,4.0,block_1/drn,W1,weight,-0.0066274666906389725,3.758476674387974,1.732204794883728,6.264950752258301,3.6167494575483077
3e-05,128,4.0,1.0,4.0,block_1/drn,b0,bias,0.012454150098999455,1.0595387033016852,0.04146399721503258,0.015045208856463432,0.3628499389105897
3e-05,128,4.0,1.0,4.0,block_1/drn,b1,bias,0.039444105467094454,1.051646542067789,0.062354426831007004,0.022905347868800163,0.36734116618340906
3e-05,128,4.0,1.0,4.0,block_1/drn,b2,bias,0.0769855600951609,1.4687890555631875,0.10673511028289795,0.1233360767364502,1.1555342605591723
3e-05,128,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,-0.11716825863866619,1.0179752473867913,0.039300598204135895,0.004183282144367695,0.10644321805583755
3e-05,128,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,-0.09638925846330383,1.0178502527565416,0.56044602394104,0.06527631729841232,0.11647208564241597
3e-05,128,4.0,1.0,4.0,head,module.2.bias,other,0.9999999183777978,0.0,0.014658222906291485,0.014658222906291485,1.0
3e-05,128,4.0,1.0,4.0,head,module.2.weight,other,1.0008747847429538,0.0,1.8242290019989014,1.8242290019989014,1.0
3e-05,128,4.0,1.0,4.0,head,module.4.bias,other,0.9999998574690373,0.0,0.40013211965560913,0.40013211965560913,1.0
3e-05,128,4.0,1.0,4.0,head,module.4.weight,other,1.0000003944563218,0.0,5.808175563812256,5.808175563812256,1.0
0.0001,128,4.0,1.0,4.0,block_0/drive,drive_scale,other,0.9999999755057054,0.9968656024011303,0.14084897935390472,0.0004414813010953367,0.003134430246640602
0.0001,128,4.0,1.0,4.0,block_0/drn,W0,weight,-0.1123611791891785,1.0252821114605721,1.302332878112793,0.18269379436969757,0.140281948985607
0.0001,128,4.0,1.0,4.0,block_0/drn,W1,weight,0.003062620804412783,1.0206668092386655,1.1148452758789062,0.23126453161239624,0.20744092172797263
0.0001,128,4.0,1.0,4.0,block_0/drn,b0,bias,0.4104358297833907,0.9983109866728661,0.707627534866333,0.0029239882715046406,0.004132100755600142
0.0001,128,4.0,1.0,4.0,block_0/drn,b1,bias,0.5152044344836262,0.9933396447211065,1.6704518795013428,0.02179865911602974,0.013049558256378505
0.0001,128,4.0,1.0,4.0,block_0/drn,b2,bias,0.2835665945443757,0.9774280012404767,2.477062702178955,0.23388344049453735,0.09441966902525363
0.0001,128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,-0.5397628926490137,1.0016122942503602,0.2573215961456299,0.000767119403462857,0.0029811699249242553
0.0001,128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.8175792333763944,0.9956141625243463,0.18257486820220947,0.0009805035078898072,0.00537041881801529
0.0001,128,4.0,1.0,4.0,block_1/drive,drive_scale,other,1.0000000111253018,0.6989982894911096,0.20084448158740997,0.06045452505350113,0.3010016734126229
