beta,num_iterations,voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
30.0,128,4.0,1.0,4.0,head,module.2.weight,other,1.0008747847429538,0.0,1.8242290019989014,1.8242290019989014,1.0
30.0,128,4.0,1.0,4.0,head,module.2.bias,other,0.9999999183777978,0.0,0.014658222906291485,0.014658222906291485,1.0
30.0,128,4.0,1.0,4.0,head,module.4.weight,other,1.0000003944563218,0.0,5.808175563812256,5.808175563812256,1.0
30.0,128,4.0,1.0,4.0,head,module.4.bias,other,0.9999998574690373,0.0,0.40013211965560913,0.40013211965560913,1.0
30.0,128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.9999962862492218,0.9960884372618832,0.18257486820220947,0.0007141681271605194,0.00391164531127881
30.0,128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,0.9999998452257606,0.9960935943703471,0.2573215961456299,0.0010051884455606341,0.003906350887827358
30.0,128,4.0,1.0,4.0,block_0/drive,drive_scale,other,0.9999999662828593,0.9960855735930678,0.14084897935390472,0.0005513462238013744,0.003914449549655821
30.0,128,4.0,1.0,4.0,block_0/drn,W0,weight,0.999772784832548,0.9960871451638297,1.302332878112793,0.005096910055726767,0.003913676865098181
30.0,128,4.0,1.0,4.0,block_0/drn,W1,weight,0.993385238577164,0.9952706372968348,1.1148452758789062,0.00530746066942811,0.004760715037558811
30.0,128,4.0,1.0,4.0,block_0/drn,b0,bias,0.9999941133132376,0.9960981366271283,0.707627534866333,0.002761027542874217,0.0039018090829319695
30.0,128,4.0,1.0,4.0,block_0/drn,b1,bias,0.9999918268555322,0.9843733920911831,1.6704518795013428,0.02610328607261181,0.015626481907640506
30.0,128,4.0,1.0,4.0,block_0/drn,b2,bias,0.9999940211867117,0.9375707561652791,2.477062702178955,0.1546429693698883,0.062429977744954214
30.0,128,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,0.9999996032888244,0.9374092018440614,0.56044602394104,0.03507877141237259,0.06259081144995854
30.0,128,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,0.9999996206206667,0.9374661245456495,0.039300598204135895,0.0024576187133789062,0.06253387545435053
30.0,128,4.0,1.0,4.0,block_1/drive,drive_scale,other,0.9999999880753315,0.9369652804904424,0.20084448158740997,0.012660178355872631,0.06303473342065795
30.0,128,4.0,1.0,4.0,block_1/drn,W0,weight,0.9999945657206827,0.9374001672834618,2.633267879486084,0.16484671831130981,0.06260157562985265
30.0,128,4.0,1.0,4.0,block_1/drn,W1,weight,0.99999885194677,0.937395269781327,1.732204794883728,0.10844912379980087,0.06260756471758894
30.0,128,4.0,1.0,4.0,block_1/drn,b0,bias,0.9999924306637522,0.9376700241060367,0.04146399721503258,0.0025844797492027283,0.062330694645757335
30.0,128,4.0,1.0,4.0,block_1/drn,b1,bias,0.9999920183350003,0.7505922850801992,0.062354426831007004,0.015551838092505932,0.24941032871097557
30.0,128,4.0,1.0,4.0,block_1/drn,b2,bias,0.9999683402445625,0.008502409630522505,0.10673511028289795,0.10653173178434372,0.9980945492255062
100.0,128,4.0,1.0,4.0,head,module.2.weight,other,1.0008747847429538,0.0,1.8242290019989014,1.8242290019989014,1.0
100.0,128,4.0,1.0,4.0,head,module.2.bias,other,0.9999999183777978,0.0,0.014658222906291485,0.014658222906291485,1.0
100.0,128,4.0,1.0,4.0,head,module.4.weight,other,1.0000003944563218,0.0,5.808175563812256,5.808175563812256,1.0
100.0,128,4.0,1.0,4.0,head,module.4.bias,other,0.9999998574690373,0.0,0.40013211965560913,0.40013211965560913,1.0
100.0,128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.999994124357409,0.9961112899424047,0.18257486820220947,0.0007099997019395232,0.003888813991382254
100.0,128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,0.9999997195653835,0.996085602968632,0.2573215961456299,0.0010072599397972226,0.0039144011030740255
100.0,128,4.0,1.0,4.0,block_0/drive,drive_scale,other,0.9999999658167883,0.996092027106874,0.14084897935390472,0.0005504367873072624,0.003907992729746414
100.0,128,4.0,1.0,4.0,block_0/drn,W0,weight,0.9997815619943188,0.9960979463164408,1.302332878112793,0.005082766525447369,0.003902816715195574
100.0,128,4.0,1.0,4.0,block_0/drn,W1,weight,0.9933609953394255,0.995268498716852,1.1148452758789062,0.005310191307216883,0.004763164379945466
100.0,128,4.0,1.0,4.0,block_0/drn,b0,bias,0.9999892702176947,0.9960945988972391,0.707627534866333,0.0027636198792606592,0.0039054725022574085
100.0,128,4.0,1.0,4.0,block_0/drn,b1,bias,0.9999862333422527,0.9843595475725492,1.6704518795013428,0.02612718753516674,0.015640790289012177
100.0,128,4.0,1.0,4.0,block_0/drn,b2,bias,0.9999879992339646,0.937520898394676,2.477062702178955,0.15476669371128082,0.06247992575042201
100.0,128,4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,0.9999991949111315,0.9373592163292255,0.56044602394104,0.03510682284832001,0.06264086343489397
100.0,128,4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,0.9999998675715285,0.937340243878626,0.039300598204135895,0.002462568460032344,0.06265982128926448
100.0,128,4.0,1.0,4.0,block_1/drive,drive_scale,other,0.9999999621448358,0.9364983868688116,0.20084448158740997,0.012753942981362343,0.06350158530898779
100.0,128,4.0,1.0,4.0,block_1/drn,W0,weight,0.9999939400009085,0.9373720090475762,2.633267879486084,0.1649206131696701,0.06262963766597741
100.0,128,4.0,1.0,4.0,block_1/drn,W1,weight,0.9999392134529,0.9374156403228538,1.732204794883728,0.10842052847146988,0.0625910566647216
100.0,128,4.0,1.0,4.0,block_1/drn,b0,bias,0.9999877877587603,0.9376102778631545,0.04146399721503258,0.0025869847740978003,0.06239110910319811
100.0,128,4.0,1.0,4.0,block_1/drn,b1,bias,0.9999858475179232,0.7504020608264754,0.062354426831007004,0.015563839115202427,0.24960279335713487
100.0,128,4.0,1.0,4.0,block_1/drn,b2,bias,0.9999067323396917,0.013947129028691285,0.10673511028289795,0.10654502362012863,0.9982190802795303
300.0,128,4.0,1.0,4.0,head,module.2.weight,other,1.0008747847429538,0.0,1.8242290019989014,1.8242290019989014,1.0
300.0,128,4.0,1.0,4.0,head,module.2.bias,other,0.9999999183777978,0.0,0.014658222906291485,0.014658222906291485,1.0
300.0,128,4.0,1.0,4.0,head,module.4.weight,other,1.0000003944563218,0.0,5.808175563812256,5.808175563812256,1.0
300.0,128,4.0,1.0,4.0,head,module.4.bias,other,0.9999998574690373,0.0,0.40013211965560913,0.40013211965560913,1.0
300.0,128,4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.9999989729918801,0.9962069447337304,0.18257486820220947,0.0006925228517502546,0.0037930896983217645
300.0,128,4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,0.9999967799401717,0.9960902356652784,0.2573215961456299,0.0010060600470751524,0.0039097380948382495
