voltage_amp,current_amp,amp_ratio,group,tensor,kind,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
4.0,0.5,8.0,head,module.2.weight,other,1.0011550598003796,0.0,0.8013657927513123,0.8013657927513123,1.0
4.0,0.5,8.0,head,module.2.bias,other,1.0000001669593346,0.0,0.011175171472132206,0.011175171472132206,1.0
4.0,0.5,8.0,head,module.4.weight,other,1.000000099155597,0.0,3.6174583435058594,3.6174583435058594,1.0
4.0,0.5,8.0,head,module.4.bias,other,1.000000077912844,0.0,0.3606056272983551,0.3606056272983551,1.0
4.0,0.5,8.0,block_0/ff,base_ff.0.weight,bias,0.9988476725384916,0.9997892885893094,0.4016801714897156,8.474042260786518e-05,0.0002109649134374432
4.0,0.5,8.0,block_0/ff,base_ff.0.bias,bias,0.9998522203081216,0.9997674458900176,0.4815959930419922,0.00011204119073227048,0.00023264560409766777
4.0,0.5,8.0,block_0/drive,drive_scale,other,1.000000050911863,0.9997870089690936,0.3898251950740814,8.301710477098823e-05,0.00021295982358249537
4.0,0.5,8.0,block_0/drn,W0,weight,0.6175223907218845,0.9998692339889805,2.0511515140533447,0.0004344877088442445,0.00021182623802648286
4.0,0.5,8.0,block_0/drn,W1,weight,0.8332667100037289,0.9998703351194392,0.7511208057403564,0.00011690692190313712,0.0001556433013300778
4.0,0.5,8.0,block_0/drn,b0,bias,0.9970673740569709,0.9997668668621568,0.44652387499809265,0.00010440301412018016,0.00023381283726570302
4.0,0.5,8.0,block_0/drn,b1,bias,0.994080027169461,0.9979748980144403,0.6731895208358765,0.0013714879751205444,0.0020372984615351923
4.0,0.5,8.0,block_0/drn,b2,bias,0.9941341722486536,0.9850438168958086,0.8443183898925781,0.012703674845397472,0.015046071479046843
4.0,0.5,8.0,block_1/ff,base_ff.0.weight,bias,0.9669660625519448,0.987752732039171,0.04690532758831978,0.0005943439900875092,0.01267114037245336
4.0,0.5,8.0,block_1/ff,base_ff.0.bias,bias,0.9991742518591593,0.9847334734816984,0.024886062368750572,0.0003802440478466451,0.015279397849782678
4.0,0.5,8.0,block_1/drive,drive_scale,other,0.9999999973586547,0.9877250469446152,0.19015046954154968,0.002334092976525426,0.01227497876893438
4.0,0.5,8.0,block_1/drn,W0,weight,0.2694157572120572,0.9919057907922827,0.6370772123336792,0.02025638520717621,0.0317958087575837
4.0,0.5,8.0,block_1/drn,W1,weight,0.9516181746334775,0.992647807974765,2.412627935409546,0.01865117810666561,0.007730648324562136
4.0,0.5,8.0,block_1/drn,b0,bias,0.9988169282573524,0.9848747617187833,0.04852209612727165,0.0007347702630795538,0.015143003326819986
4.0,0.5,8.0,block_1/drn,b1,bias,0.9964792646334165,0.8613948935799149,0.03648397698998451,0.0050776186399161816,0.1391739349388932
4.0,0.5,8.0,block_1/drn,b2,bias,0.9943862430984224,0.11093939033998242,0.044848788529634476,0.043102506548166275,0.9610628951478963
4.0,1.0,4.0,head,module.2.weight,other,1.0007332568980292,0.0,0.2941930890083313,0.2941930890083313,1.0
4.0,1.0,4.0,head,module.2.bias,other,1.000000157878163,0.0,0.0306899044662714,0.0306899044662714,1.0
4.0,1.0,4.0,head,module.4.weight,other,0.9999999750983465,0.0,1.9120004177093506,1.9120004177093506,1.0
4.0,1.0,4.0,head,module.4.bias,other,0.9999999817925399,0.0,0.16328848898410797,0.16328848898410797,1.0
4.0,1.0,4.0,block_0/ff,base_ff.0.weight,bias,0.9999999623412666,0.9960936837397075,0.4673458933830261,0.0018255752511322498,0.0039062614585468275
4.0,1.0,4.0,block_0/ff,base_ff.0.bias,bias,0.9999999059472511,0.9960940034821171,0.17865386605262756,0.0006978273740969598,0.003906030076569376
4.0,1.0,4.0,block_0/drive,drive_scale,other,1.0000000391445052,0.9960930576656545,0.27811843156814575,0.001086587319150567,0.003906923079581393
4.0,1.0,4.0,block_0/drn,W0,weight,0.9994512673970125,0.9960410495043099,2.852205991744995,0.011298052035272121,0.0039611627168484815
4.0,1.0,4.0,block_0/drn,W1,weight,0.9852500009583404,0.9958420683859232,0.7037706971168518,0.002970067085698247,0.0042202198782441015
4.0,1.0,4.0,block_0/drn,b0,bias,0.9999999556938912,0.9960935915727753,0.1848069578409195,0.0007218747050501406,0.003906101336679787
4.0,1.0,4.0,block_0/drn,b1,bias,0.9983022409577424,0.9832408011540994,0.5527777075767517,0.009280011989176273,0.01678796351947273
4.0,1.0,4.0,block_0/drn,b2,bias,1.0000001422709184,0.9375002755795376,1.4599463939666748,0.09124596416950226,0.062499530494121054
4.0,1.0,4.0,block_1/ff,base_ff.0.weight,bias,0.9999995638476243,0.9375042811259471,0.050197701901197433,0.0031371419318020344,0.06249572815059886
4.0,1.0,4.0,block_1/ff,base_ff.0.bias,bias,0.999999785962201,0.9375055829132654,0.030652549117803574,0.001915612956508994,0.06249440949093432
4.0,1.0,4.0,block_1/drive,drive_scale,other,0.9999999556870263,0.9374769156812132,0.04990600049495697,0.0031202761456370354,0.0625230656572518
4.0,1.0,4.0,block_1/drn,W0,weight,0.9478570751451806,0.9322996917756804,0.594723105430603,0.04265451803803444,0.07172164264099153
4.0,1.0,4.0,block_1/drn,W1,weight,0.994567278635682,0.934168516409083,1.8136298656463623,0.12009835243225098,0.06621988020110649
4.0,1.0,4.0,block_1/drn,b0,bias,0.9999999399938032,0.9375005569963194,0.05559547618031502,0.003474704222753644,0.06249976547523395
4.0,1.0,4.0,block_1/drn,b1,bias,0.998142307482162,0.718455905425569,0.08863640576601028,0.025019744411110878,0.2822739053426881
4.0,1.0,4.0,block_1/drn,b2,bias,1.0000009533903262,4.3600552599556665e-05,0.20601047575473785,0.20601043105125427,0.9999997830038331
