algorithm,tensor,shape,bp_norm,ep_norm,ep_over_bp,relative_gap
ep,block_0/drn/Bias_0,"[6, 32, 32]",0.19019781053066254,0.011680029332637787,0.06140990424679365,0.9385900957532064
ep,block_0/drn/ConvWeight_0,"[64, 6, 3, 3]",7.14186954498291,0.4441702961921692,0.062192440423977535,0.9378075595760225
ep,block_1/drn/Bias_2,"[128, 16, 16]",0.026421280577778816,0.001644129864871502,0.0622274859097583,0.9377725140902416
ep,block_0/drn/Bias_1,"[64, 32, 32]",3.2631657123565674,0.20364372432231903,0.062406798266844137,0.9375932017331559
ep,block_1/drn/Bias_3,"[512, 16, 16]",0.18578208982944489,0.011609818786382675,0.062491593226456525,0.9375084067735435
ep,block_1/drn/ConvWeight_1,"[512, 128, 3, 3]",3.631732940673828,0.2275473028421402,0.06265529612425777,0.9373447038757422
ep,block_0/ff/base_ff.0.bias,[3],0.30937063694000244,0.3015459179878235,0.9747076224506191,0.025292377549380796
ep,block_0/drive/drive_scale_raw,[],0.2439248263835907,0.24715304374694824,1.0132344764213583,0.013234476421358284
ep,block_1/ff/base_ff.0.weight,[64],0.13854935765266418,0.13810794055461884,0.9968140083395265,0.0031859916604735053
ep,block_1/ff/base_ff.0.bias,[64],0.11827106028795242,0.11793366074562073,0.9971472349912968,0.0028527650087031855
ep,block_0/ff/base_ff.0.weight,[3],0.2825543284416199,0.282880961894989,1.0011560022993475,0.0011560022993476393
ep,block_1/drive/drive_scale_raw,[],0.22075118124485016,0.2208319753408432,1.000365996211379,0.00036599621137894505
ep,head/module.2.weight,"[256, 32768]",0.6508767604827881,0.6508767604827881,1.0,0.0
ep,head/module.2.bias,[256],0.06370415538549423,0.06370415538549423,1.0,0.0
ep,head/module.4.weight,"[10, 256]",2.1855785846710205,2.1855785846710205,1.0,0.0
ep,head/module.4.bias,[10],0.1632636934518814,0.1632636934518814,1.0,0.0
bp,block_0/drn/Bias_4,"[6, 32, 32]",0.23977215588092804,0.014667684212327003,0.061173425906930756,0.9388265740930692
bp,block_0/drn/ConvWeight_2,"[64, 6, 3, 3]",9.318329811096191,0.578762948513031,0.06211015925019576,0.9378898407498042
bp,block_1/drn/Bias_6,"[128, 16, 16]",0.025558458641171455,0.0015896225813776255,0.06219555739628774,0.9378044426037123
bp,block_0/drn/Bias_5,"[64, 32, 32]",2.966367721557617,0.1848137527704239,0.06230304875127875,0.9376969512487212
bp,block_1/drn/ConvWeight_3,"[512, 128, 3, 3]",2.5259716510772705,0.15787047147750854,0.062498908651718366,0.9375010913482816
bp,block_1/drn/Bias_7,"[512, 16, 16]",0.1698920726776123,0.01061959844082594,0.06250791030713787,0.9374920896928621
bp,block_0/drive/drive_scale_raw,[],0.4294925928115845,0.43535417318344116,1.0136476867586588,0.013647686758658783
bp,block_0/ff/base_ff.0.bias,[3],0.3228232264518738,0.3258610665798187,1.0094102278864308,0.009410227886430672
bp,block_0/ff/base_ff.0.weight,[3],0.47998160123825073,0.4840632975101471,1.0085038598591414,0.008503859859141375
bp,block_1/ff/base_ff.0.bias,[64],0.15763843059539795,0.15682300925254822,0.9948272680730841,0.0051727319269159015
bp,block_1/drive/drive_scale_raw,[],0.3265842795372009,0.32755163311958313,1.0029620335178198,0.0029620335178197447
bp,block_1/ff/base_ff.0.weight,[64],0.1728239357471466,0.17284363508224487,1.000113984992953,0.00011398499295310629
bp,head/module.2.weight,"[256, 32768]",0.5569343566894531,0.5569343566894531,1.0,0.0
bp,head/module.2.bias,[256],0.08311230689287186,0.08311230689287186,1.0,0.0
bp,head/module.4.weight,"[10, 256]",1.9489449262619019,1.9489449262619019,1.0,0.0
bp,head/module.4.bias,[10],0.1646721214056015,0.1646721214056015,1.0,0.0
