algorithm,tensor,shape,bp_norm,ep_norm,ep_over_bp,relative_gap
ep,block_0/ff/base_ff.0.bias,[3],0.28367558121681213,0.017618361860513687,0.062107431964854395,0.9378925680351456
ep,block_0/drn/Bias_0,"[6, 32, 32]",0.18873175978660583,0.011744634248316288,0.062229241446143696,0.9377707585538563
ep,block_0/drn/ConvWeight_0,"[64, 6, 3, 3]",7.513629913330078,0.46887367963790894,0.06240308413461661,0.9375969158653834
ep,block_0/drive/drive_scale_raw,[],0.25286757946014404,0.01582096330821514,0.06256619904375198,0.9374338009562481
ep,block_0/ff/base_ff.0.weight,[3],0.32769906520843506,0.020572684705257416,0.06277919862899832,0.9372208013710017
ep,block_1/ff/base_ff.0.bias,[64],0.1543329358100891,0.03817606344819069,0.24736173939675052,0.7526382606032495
ep,block_1/drn/Bias_2,"[128, 16, 16]",0.024234073236584663,0.006032863631844521,0.24894137988891954,0.7510586201110805
ep,block_0/drn/Bias_1,"[64, 32, 32]",3.7468464374542236,0.9351840615272522,0.24959231106430357,0.7504076889356964
ep,block_1/ff/base_ff.0.weight,[64],0.16380198299884796,0.04093719273805618,0.24991878601582068,0.7500812139841793
ep,block_1/drn/ConvWeight_1,"[512, 128, 3, 3]",3.0811970233917236,0.7719205617904663,0.2505261935313538,0.7494738064686461
ep,block_1/drive/drive_scale_raw,[],0.24430608749389648,0.061279892921447754,0.25083244363683205,0.7491675563631679
ep,block_1/drn/Bias_3,"[512, 16, 16]",0.1790987253189087,0.17910252511501312,1.00002121620965,2.121620965009728e-05
ep,head/module.2.weight,"[256, 32768]",0.614385187625885,0.614385187625885,1.0,0.0
ep,head/module.2.bias,[256],0.06536130607128143,0.06536130607128143,1.0,0.0
ep,head/module.4.weight,"[10, 256]",2.127502918243408,2.127502918243408,1.0,0.0
ep,head/module.4.bias,[10],0.17003941535949707,0.17003941535949707,1.0,0.0
bp,block_0/drn/Bias_4,"[6, 32, 32]",0.23977215588092804,0.014678722247481346,0.06121946142391474,0.9387805385760852
bp,block_0/drn/ConvWeight_2,"[64, 6, 3, 3]",9.318329811096191,0.5791842341423035,0.062155369672858715,0.9378446303271413
bp,block_0/ff/base_ff.0.weight,[3],0.47998160123825073,0.030301138758659363,0.06312979222638712,0.9368702077736129
bp,block_0/drive/drive_scale_raw,[],0.4294925928115845,0.027223896235227585,0.06338618334954738,0.9366138166504526
bp,block_0/ff/base_ff.0.bias,[3],0.3228232264518738,0.020603079348802567,0.0638215520464543,0.9361784479535457
bp,block_1/ff/base_ff.0.bias,[64],0.15763843059539795,0.039205752313137054,0.24870681701827102,0.751293182981729
bp,block_1/drn/Bias_6,"[128, 16, 16]",0.025558458641171455,0.006358490325510502,0.24878222958515095,0.751217770414849
bp,block_0/drn/Bias_5,"[64, 32, 32]",2.966367721557617,0.740425169467926,0.24960667016668264,0.7503933298333174
bp,block_1/drn/ConvWeight_3,"[512, 128, 3, 3]",2.5259716510772705,0.6314818859100342,0.24999563460687346,0.7500043653931265
bp,block_1/ff/base_ff.0.weight,[64],0.1728239357471466,0.04321090877056122,0.25002849624823825,0.7499715037517617
bp,block_1/drive/drive_scale_raw,[],0.3265842795372009,0.08188790827989578,0.25074050837945494,0.7492594916205451
bp,block_1/drn/Bias_7,"[512, 16, 16]",0.1698920726776123,0.16991357505321503,1.000126564914206,0.00012656491420600383
bp,head/module.2.weight,"[256, 32768]",0.5569343566894531,0.5569343566894531,1.0,0.0
bp,head/module.2.bias,[256],0.08311230689287186,0.08311230689287186,1.0,0.0
bp,head/module.4.weight,"[10, 256]",1.9489449262619019,1.9489449262619019,1.0,0.0
bp,head/module.4.bias,[10],0.1646721214056015,0.1646721214056015,1.0,0.0
