beta,num_iterations,voltage_amp,current_amp,amp_ratio,overall_cosine,ff_flat_cosine,drive_flat_cosine,drn_flat_cosine,drn_local_mean_cosine,drn_weight_mean_cosine,drn_bias_mean_cosine,drn_ep_bp_norm_ratio,positive_relative_disp,negative_relative_disp,mean_relative_disp
1e-06,128,4.0,1.0,4.0,0.4239509792253564,0.01301257870860123,0.5643320200916623,0.010928288601814726,0.031332553765128765,0.02746341058808618,0.03442786830676284,2.061380353295819,0.019360185950162107,0.019360185950162107,0.019360185950162107
3e-06,128,4.0,1.0,4.0,0.1911460595956286,-0.019874730988039557,-0.8569949277429008,0.0010383749180464187,-0.0009999669585320984,0.017196076571504123,-0.013130662645222911,5.181444801818773,0.019360186129194365,0.019360185950362555,0.01936018603977846
1e-05,128,4.0,1.0,4.0,0.16046084972516989,-0.01209357211437522,0.7656946698777118,0.005894529274934963,0.009580658266490122,0.02841260539658858,-0.0029739731535755164,6.354364307794193,0.01936018603167886,0.0193601860405811,0.01936018603612998
3e-05,128,4.0,1.0,4.0,0.22728008717571954,-0.09043203240131377,0.6007039415205482,-0.0020533712640058398,0.048808928662890896,0.007639534161883287,0.07625519166356264,4.261770840273866,0.019360186041256923,0.019360186032803654,0.01936018603703029
0.0001,128,4.0,1.0,4.0,0.2811107329114945,0.16588495018388788,0.8229088600943099,0.012155244556097141,0.1652514559125454,-0.018806234840446634,0.28795658308120675,3.4822510140748952,0.01936018342099251,0.019360188630848922,0.01936018602592072
0.0003,128,4.0,1.0,4.0,0.3905071485092899,0.5292154186814939,0.8176036645661698,0.05241769765802641,0.41065313944609405,0.04526972676557625,0.654242081233106,2.5009233179682564,0.019360177123223434,0.019360194956365276,0.019360186039794353
0.001,128,4.0,1.0,4.0,0.5787938665042665,0.7161768658774067,0.8341329005976451,0.04508867489602904,0.5556053516248725,0.12300328303290355,0.8440067306861851,1.282152079938782,0.019360167291202685,0.019360204918042072,0.01936018610462238
0.003,128,4.0,1.0,4.0,0.7409368142193624,0.8515572839654205,0.8287116442407636,0.0823661641096961,0.6496548341650906,0.2259722203879078,0.9321099100165459,0.5748219690315963,0.01936012901586606,0.01936024318647112,0.019360186101168592
0.01,128,4.0,1.0,4.0,0.8010193539906183,0.8839677251553328,0.8380770178166643,0.22927630775038046,0.8014801904145017,0.5235757220833517,0.9867498359686017,0.21611361979813398,0.01936004150884583,0.01936033083429088,0.019360186171568358
0.03,128,4.0,1.0,4.0,0.809042615111423,0.8877430682034114,0.8431787069735793,0.4750079406416164,0.8819230052360384,0.7075355644585394,0.9981812990877043,0.10123897338671739,0.019359785587638297,0.019360588462715832,0.019360187025177063
0.1,128,4.0,1.0,4.0,0.8103617101527438,0.8885014715888626,0.8433760145458009,0.7386597949339742,0.957917993603373,0.8950880844042071,0.9998045997361505,0.06514163607784704,0.019358862092076972,0.019361534906730066,0.01936019849940352
0.3,128,4.0,1.0,4.0,0.8105144521919733,0.8885241540717808,0.8429443063865458,0.8156961265789504,0.9910081863540426,0.9775661401922856,0.9999695504618807,0.05915453713967279,0.01935627355231698,0.01936432268624899,0.019360298119282988
1.0,128,4.0,1.0,4.0,0.8105258391529424,0.8885418532795989,0.84288120602722,0.8290518660649984,0.9984008098003094,0.9960209347936221,0.999987393138101,0.05820932494614147,0.019347987294762174,0.019374874196890844,0.01936143074582651
3.0,128,4.0,1.0,4.0,0.8105065128155694,0.8885396193564769,0.842951238742606,0.8302926480527351,0.9992054315997974,0.9980287324175615,0.9999898977212881,0.05806768760637943,0.019331109059196473,0.019411664591615453,0.019371386825405963
10.0,128,4.0,1.0,4.0,0.8105033540229948,0.8885403730900719,0.8429525210152651,0.8304449006648069,0.9993019294075343,0.9982691736498938,0.9999904332459613,0.05804769256318156,0.019350950266756654,0.01961746812724887,0.01948420919700276
30.0,128,4.0,1.0,4.0,0.8105045182569286,0.888538786297392,0.8429435712562273,0.8304664445795089,0.9993084191675962,0.9982878602692912,0.9999887917664662,0.05804901126435807,0.02006802744220972,0.020821616794738332,0.020444822118474024
100.0,128,4.0,1.0,4.0,0.8105143621211406,0.8885160890834785,0.8427332921405147,0.8304931627228817,0.9992919581197841,0.9982689276968881,0.9999739784017145,0.05807228097698469,0.028215720614954757,0.029905251574487184,0.029060486094720967
300.0,128,4.0,1.0,4.0,0.8103629699754628,0.8884001319249243,0.8422005052992515,0.8300968971351256,0.9991721983053763,0.998133356460333,0.9998647595354052,0.057695536253303696,0.06609302182748555,0.06793991685133349,0.06701646933940952
