target,target_type,count,intercept_C,ratio_exponent_k,ratio_fit_r2,a_exponent,b_exponent,two_factor_r2
drive_all,path,2,0.05504044515030726,1.1174980137108435,1.0,nan,nan,nan
drn_all,path,2,1.3689609441553647,2.168514767417679,1.0,nan,nan,nan
ff_all,path,2,0.4320613131251408,2.854119066737112,1.0,nan,nan,nan
block_0/drn/W0,weight,2,1.3890063565535016,4.226859843438753,1.0,nan,nan,nan
block_0/drn/W1,weight,2,3.0921963030409585,4.75855466835518,1.0,nan,nan,nan
block_0/drn/b0,bias,2,1.0903287202821188,4.062400073472101,1.0,nan,nan,nan
block_0/drn/b1,bias,2,1.1401368473524032,3.0428137781035223,1.0,nan,nan,nan
block_0/drn/b2,bias,2,1.0786885083605406,2.054641398005359,1.0,nan,nan,nan
block_1/drn/W0,weight,2,0.3630791973789947,1.1697877720516554,1.0,nan,nan,nan
block_1/drn/W1,weight,2,4.8707495296647645,3.100372805009648,1.0,nan,nan,nan
block_1/drn/b0,bias,2,1.0646993321711424,2.0452240526976744,1.0,nan,nan,nan
block_1/drn/b1,bias,2,1.1612077382243589,1.0202287268014871,1.0,nan,nan,nan
block_1/drn/b2,bias,2,1.0826871584516244,0.05730821881819205,1.0,nan,nan,nan
