scale,beta,group,tensor,cosine,relative_error,bp_norm,ep_norm,ep_bp_norm_ratio
1.0,0.001,head,module.2.weight,1.0008276109644614,0.0,2.091502437906456e-06,2.091502437906456e-06,1.0
1.0,0.001,head,module.2.bias,0.9999999204100223,0.0,0.34582120180130005,0.34582120180130005,1.0
1.0,0.001,head,module.4.weight,0.9999999359763868,0.0,0.03101237677037716,0.03101237677037716,1.0
1.0,0.001,head,module.4.bias,0.9999999843489018,0.0,0.6310117840766907,0.6310117840766907,1.0
1.0,0.001,block_0/ff,base_ff.0.weight,nan,1.0,3.6575689144058288e-09,0.0,0.0
1.0,0.001,block_0/ff,base_ff.0.bias,nan,1.0,2.564080947564662e-09,0.0,0.0
1.0,0.001,block_0/drive,drive_scale,nan,1.0,3.35211147728387e-09,0.0,0.0
1.0,0.001,block_0/drn,W0,nan,1.0,8.41141272189816e-08,0.0,0.0
1.0,0.001,block_0/drn,W1,-0.015326078398943203,1.0978761687937848,1.3287335320910643e-07,5.820765736075373e-08,0.4380687019251388
1.0,0.001,block_0/drn,b0,nan,1.0,6.305798194716772e-08,0.0,0.0
1.0,0.001,block_0/drn,b1,0.00010818114240534723,1.000939938051892,1.6735140206947108e-07,7.275957170094216e-09,0.04347712107648679
1.0,0.001,block_0/drn,b2,0.008657244473489279,1.0211027826048966,1.5092712146724807e-06,3.250374618346541e-07,0.21536053869893015
1.0,0.001,block_1/ff,base_ff.0.weight,0.9123220823041815,0.9398091366016745,3.8199461371846155e-09,2.5366994615971805e-10,0.06640668141637159
1.0,0.001,block_1/ff,base_ff.0.bias,0.9783536932796288,0.9354928946903339,5.964450792816933e-06,3.938706356620969e-07,0.06603636266669188
1.0,0.001,block_1/drive,drive_scale,1.0000000059972698,0.9315837218568183,3.3521374565026463e-09,2.2934068533153606e-10,0.06841625330329142
1.0,0.001,block_1/drn,W0,0.964778628795696,0.9353798357147941,4.504424850892974e-07,3.024796413342301e-08,0.06715166782597459
1.0,0.001,block_1/drn,W1,1.0000049161117968,0.9374881224275078,4.824661914426542e-07,3.0160311581539645e-08,0.06251279802913297
1.0,0.001,block_1/drn,b0,0.9999825024106475,0.9374955575855378,0.0002653298433870077,1.658463770581875e-05,0.06250573811868025
1.0,0.001,block_1/drn,b1,0.9979984128311093,0.7320803908091129,0.0004876520542893559,0.00013100969954393804,0.26865405034508766
1.0,0.001,block_1/drn,b2,1.0000203204907663,4.1703057596313146e-07,0.01822374202311039,0.01822374202311039,1.0
1.0,0.01,head,module.2.weight,1.0008276109644614,0.0,2.091502437906456e-06,2.091502437906456e-06,1.0
1.0,0.01,head,module.2.bias,0.9999999204100223,0.0,0.34582120180130005,0.34582120180130005,1.0
1.0,0.01,head,module.4.weight,0.9999999359763868,0.0,0.03101237677037716,0.03101237677037716,1.0
1.0,0.01,head,module.4.bias,0.9999999843489018,0.0,0.6310117840766907,0.6310117840766907,1.0
1.0,0.01,block_0/ff,base_ff.0.weight,0.5914475589428897,0.839738417867749,3.6575689144058288e-09,3.0208080481486377e-09,0.8259059825915454
1.0,0.01,block_0/ff,base_ff.0.bias,-0.8049216278300051,9.903186412684756,2.564080947564662e-09,2.3283064365386963e-08,9.080471654961197
1.0,0.01,block_0/drive,drive_scale,1.000000015324101,0.4303545680051254,3.35211147728387e-09,1.9095149905723474e-09,0.5696454319948746
1.0,0.01,block_0/drn,W0,nan,1.0,8.41141272189816e-08,0.0,0.0
1.0,0.01,block_0/drn,W1,-0.011761866246692483,1.2793373697117185,1.3287335320910643e-07,1.0447335796470725e-07,0.7862626737529131
1.0,0.01,block_0/drn,b0,nan,1.0,6.305798194716772e-08,0.0,0.0
1.0,0.01,block_0/drn,b1,0.01190438958988369,1.1131497240051806,1.6735140206947108e-07,8.384801475358472e-08,0.501029652077714
1.0,0.01,block_0/drn,b2,0.12188538207597789,0.9926592892723467,1.5092712146724807e-06,2.067562121510491e-07,0.13699076093220014
